Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Raleigh/Greensboro,Weekly,"2021-01-17 00:00:00",Conventional,0.940000000,507918.80,196528.37,79735.52,4452.46,192854.82,154775.13,38036.36,43.33,34347.63
Raleigh/Greensboro,Weekly,"2021-01-10 00:00:00",Conventional,0.850000000,562080.15,221178.36,75930.97,4204.53,218007.70,178791.23,39146.47,70.00,42758.59
Raleigh/Greensboro,Weekly,"2021-01-04 00:00:00",Conventional,0.880000000,549313.13,216544.24,90940.71,4793.40,206882.39,169601.49,37264.23,16.67,30152.39
Richmond/Norfolk,Weekly,"2021-01-24 00:00:00",Conventional,0.850000000,423219.26,126414.70,92250.27,1274.15,94149.41,68568.00,15908.08,9673.33,109130.73
Richmond/Norfolk,Weekly,"2021-01-17 00:00:00",Conventional,0.960000000,372513.90,98673.58,76363.96,886.63,102197.79,75005.42,17685.70,9506.67,94391.94
Richmond/Norfolk,Weekly,"2021-01-10 00:00:00",Conventional,0.860000000,400668.23,118328.08,81187.78,804.61,96800.37,72112.22,15761.48,8926.67,103547.39
Richmond/Norfolk,Weekly,"2021-01-04 00:00:00",Conventional,0.860000000,389437.68,117602.83,79712.11,1040.55,93774.12,75219.54,8531.24,10023.34,97308.07
Roanoke,Weekly,"2021-01-24 00:00:00",Conventional,0.820000000,267673.87,79172.83,38337.00,14.44,53261.92,42660.80,7296.12,3305.00,96887.68
Roanoke,Weekly,"2021-01-17 00:00:00",Conventional,0.870000000,247179.99,70800.66,32889.28,36.69,57722.09,44311.83,7846.93,5563.33,85731.27
Roanoke,Weekly,"2021-01-10 00:00:00",Conventional,0.800000000,245563.32,72555.78,32875.66,39.03,53788.61,39308.46,9162.93,5317.22,86304.24
